Y,Timestamp,X,Page,Interaction Type
633,1524939903051,457,magnetbox,touch
682.5,1524939997955,458.5,magnetbox,touch
377,1524940037790,453.5,magnetbox,touch
372,1524940048564,230.5,magnetbox,touch
378.5,1524940065764,219.5,magnetbox,touch
897,1524940073411,211,magnetbox,touch
896,1524940084494,206.5,magnetbox,touch
868,1524940110961,457,magnetbox,touch
871,1524940131349,214,magnetbox,touch
953,1524940142388,207.5,magnetbox,touch
901.5,1524940142571,199.5,magnetbox,touch
847,1524940157450,228.5,magnetbox,touch
881,1524940168808,466.5,magnetbox,touch
880.5,1524940184419,485,magnetbox,touch
890,1524940204163,441.5,magnetbox,touch
377.5,1524946816778,218.5,magnetbox,touch
398.5,1524946828276,460,magnetbox,touch
405.5,1524946843543,720,magnetbox,touch
620.5,1524946854626,251,magnetbox,touch
611,1524946870225,473.5,magnetbox,touch
658,1524946877932,709.5,magnetbox,touch
659.5,1524946886696,713,magnetbox,touch
879.5,1524946893171,226.5,magnetbox,touch
860,1524946901138,445.5,magnetbox,touch
860,1524946914147,699.5,magnetbox,touch
346.5,1524946929612,204,magnetbox,touch
384.5,1524946941981,453.5,magnetbox,touch
378,1524946962509,711.5,magnetbox,touch
624.5,1524946970713,207,magnetbox,touch
603.5,1524946980982,490.5,magnetbox,touch
648,1524946994892,709,magnetbox,touch
867,1524947001477,176.5,magnetbox,touch
895,1524947014778,718,magnetbox,touch
403.5,1524962346916,203.5,magnetbox,touch
414.5,1524962356393,442.5,magnetbox,touch
386.5,1524962373768,710.5,magnetbox,touch
665,1524962391521,227,magnetbox,touch
645,1524962395691,463.5,magnetbox,touch
651,1524962410385,703.5,magnetbox,touch
877,1524962425257,214.5,magnetbox,touch
891.5,1524962441809,478,magnetbox,touch
866.5,1524962454472,714,magnetbox,touch
348.5,1524962466649,206.5,magnetbox,touch
382.5,1524962480163,474.5,magnetbox,touch
378.5,1524962490327,744.5,magnetbox,touch
622,1524962499896,217,magnetbox,touch
628,1524962509097,461.5,magnetbox,touch
668,1524962513006,717.5,magnetbox,touch
907,1524962524993,216.5,magnetbox,touch
861,1524962531036,465,magnetbox,touch
895.5,1524962535494,716.5,magnetbox,touch
398.5,1525023696329,216.5,magnetbox,touch
389,1525023718429,458.5,magnetbox,touch
374,1525023721612,710,magnetbox,touch
648.5,1525023742005,202,magnetbox,touch
650,1525023754168,463.5,magnetbox,touch
610,1525023758315,694.5,magnetbox,touch
904,1525023782621,248,magnetbox,touch
868.5,1525023790169,463,magnetbox,touch
895.5,1525023805121,715.5,magnetbox,touch
415,1525023826855,247,magnetbox,touch
366,1525023834246,434.5,magnetbox,touch
354,1525023870556,713,magnetbox,touch
629,1525023879040,180,magnetbox,touch
641.5,1525023887401,452.5,magnetbox,touch
672.5,1525023896968,687,magnetbox,touch
952,1525023899908,250.5,magnetbox,touch
845.5,1525023902791,461.5,magnetbox,touch
931,1525023922626,731.5,magnetbox,touch
374,1525034274874,250,magnetbox,touch
388.5,1525034281708,488,magnetbox,touch
367.5,1525034289650,702.5,magnetbox,touch
608,1525034304034,249,magnetbox,touch
617.5,1525034313773,799.5,magnetbox,touch
915.5,1525034320430,244.5,magnetbox,touch
910,1525034328421,488,magnetbox,touch
904.5,1525034344932,718.5,magnetbox,touch
