Y,Timestamp,X,Page,Interaction Type
964.5,1525035082732,736,zoombox,touch
398,1525035090628,221,zoombox,touch
394.5,1525035102331,739.5,zoombox,touch
655,1525035109003,215,zoombox,touch
417,1525035123626,748.5,zoombox,touch
406,1525035155868,764.5,zoombox,touch
672,1525035161349,245,zoombox,touch
674.5,1525035174777,499.5,zoombox,touch
650,1525035181151,761,zoombox,touch
374.5,1525040013001,225,zoombox,touch
399.5,1525040026622,478.5,zoombox,touch
374.5,1525040031010,698,zoombox,touch
632.5,1525040050315,201,zoombox,touch
691,1525040059801,478.5,zoombox,touch
691,1525040071761,749,zoombox,touch
939.5,1525040081369,222,zoombox,touch
886,1525040087801,472.5,zoombox,touch
893,1525040099026,716,zoombox,touch
375.5,1525040119628,203.5,zoombox,touch
376,1525040123610,460.5,zoombox,touch
659.5,1525040144558,207.5,zoombox,touch
621,1525040151545,462,zoombox,touch
646,1525040158982,728.5,zoombox,touch
908,1525040165625,221.5,zoombox,touch
897,1525040180101,475.5,zoombox,touch
913,1525040193563,718,zoombox,touch
400.5,1525044879868,195,zoombox,touch
411,1525044894553,456.5,zoombox,touch
399.5,1525044915889,667.5,zoombox,touch
636,1525044927258,197,zoombox,touch
660,1525044950386,452.5,zoombox,touch
657,1525044957066,699,zoombox,touch
900,1525044970004,205.5,zoombox,touch
902,1525044989740,215.5,zoombox,touch
880.5,1525044994452,434.5,zoombox,touch
877.5,1525044998004,711.5,zoombox,touch
382,1525045013614,196.5,zoombox,touch
403.5,1525045021675,459,zoombox,touch
400,1525045055701,457,zoombox,touch
422.5,1525045071375,689,zoombox,touch
629,1525045076706,202.5,zoombox,touch
399.5,1525051128461,219.5,zoombox,touch
395.5,1525051139417,469.5,zoombox,touch
376.5,1525051145554,719,zoombox,touch
655.5,1525051162561,229.5,zoombox,touch
648,1525051171104,476.5,zoombox,touch
645.5,1525051192430,699,zoombox,touch
888.5,1525051197356,212,zoombox,touch
902,1525051210316,469.5,zoombox,touch
882.5,1525051233388,718.5,zoombox,touch
398,1525051254426,224.5,zoombox,touch
399,1525051260707,474.5,zoombox,touch
393,1525051264609,712.5,zoombox,touch
640,1525051269080,212.5,zoombox,touch
654.5,1525051274582,474.5,zoombox,touch
636,1525051282330,700,zoombox,touch
869,1525051286393,232,zoombox,touch
879.5,1525051291309,480,zoombox,touch
878,1525051298563,712.5,zoombox,touch
369,1525220285026,191,zoombox,touch
389,1525220289571,464,zoombox,touch
382,1525220301850,713,zoombox,touch
645.5,1525220307287,213,zoombox,touch
609.5,1525220328552,457,zoombox,touch
621.5,1525220335054,702.5,zoombox,touch
882,1525220338287,203.5,zoombox,touch
863,1525220344646,454,zoombox,touch
888.5,1525220368372,739,zoombox,touch
373.5,1525220394031,200.5,zoombox,touch
362,1525220404333,456.5,zoombox,touch
381.5,1525220407397,720,zoombox,touch
628.5,1525220427349,206.5,zoombox,touch
631.5,1525220434471,452,zoombox,touch
654.5,1525220437514,699,zoombox,touch
847.5,1525220445698,182,zoombox,touch
899.5,1525220460465,434.5,zoombox,touch
877,1525220463656,736.5,zoombox,touch
396.5,1525226074678,215,zoombox,touch
378.5,1525226085132,456.5,zoombox,touch
383.5,1525226104029,710,zoombox,touch
638,1525226107661,221.5,zoombox,touch
629,1525226115461,216,zoombox,touch
637.5,1525226120220,454,zoombox,touch
616.5,1525226124484,712.5,zoombox,touch
879,1525226134098,219.5,zoombox,touch
908,1525226139715,468.5,zoombox,touch
898.5,1525226149376,728.5,zoombox,touch
387,1525226157641,204,zoombox,touch
315.5,1525226161496,476,zoombox,touch
396.5,1525226170805,719.5,zoombox,touch
637.5,1525226188772,230.5,zoombox,touch
657.5,1525226194705,462,zoombox,touch
632.5,1525226197457,705,zoombox,touch
883.5,1525226201572,227.5,zoombox,touch
915.5,1525226213889,468.5,zoombox,touch
